item_id,source_label,target_label,proxy_success,clean_margin,adversarial_margin,margin_gain,caption_success,caption_eval_failed,caption_eval_error,clean_caption,adversarial_caption,vqa_success,vqa_eval_failed,vqa_eval_error,question,source_answer_text,target_answer_text,clean_answer,adversarial_answer,ocr_success,ocr_eval_failed,ocr_eval_error,clean_text,adversarial_text,gpt_success,gpt_eval_failed,gpt_eval_error,gpt_model_name,gpt_task_type,gpt_api_mode,gpt_prompt_mode,gpt_success_mode,gpt_prompt,gpt_clean_output,gpt_adversarial_output,gpt_clean_judge_label,gpt_adversarial_judge_label,gpt_clean_judge_pass,gpt_adversarial_judge_pass
item_37,watch,laptop,True,-0.01689983531832695,0.45797114446759224,0.4748709797859192,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_38,laptop,phone,True,-0.08467493206262589,0.33422569930553436,0.41890063136816025,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_39,phone,car,True,-0.24588172510266304,0.3519953712821007,0.5978770963847637,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_40,car,dog,True,-0.3235563524067402,0.4952135868370533,0.8187699392437935,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_41,dog,watch,True,-0.2655334621667862,0.3795894980430603,0.6451229602098465,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_42,watch,laptop,True,0.004506189376115799,0.44309913367033005,0.43859294429421425,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_43,laptop,phone,True,-0.055018384009599686,0.3378799818456173,0.392898365855217,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_44,phone,car,True,-0.22627181932330132,0.38891082257032394,0.6151826418936253,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_45,car,dog,True,-0.2993646524846554,0.4982658475637436,0.797630500048399,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_46,dog,watch,True,-0.22701701149344444,0.45990409702062607,0.6869211085140705,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_47,watch,laptop,True,-0.111172616481781,0.4700222760438919,0.5811948925256729,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_48,laptop,phone,True,-0.09908326342701912,0.3686046823859215,0.4676879458129406,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_49,phone,car,True,-0.23161840438842773,0.22939056903123856,0.4610089734196663,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
